Member State,MS Code,Category,Product Group,Year,Production,Opening Stock,Availability,Area,Yield
Austria,AT,VQPRD wines,VQPRD wines,2003,"2,185.78","2,123.10","4,308.88",51.136,43
Austria,AT,VQPRD wines,VQPRD wines,2004,"2,221.00","2,219.30","4,440.30",51.030,44
Austria,AT,VQPRD wines,VQPRD wines,2005,"2,047.00","2,303.00","4,350.00",50.988,40
Austria,AT,VQPRD wines,VQPRD wines,2006,"2,010.00","2,105.73","4,115.73",50.681,40
Austria,AT,VQPRD wines,VQPRD wines,2001,"2,027.40","2,210.90","4,238.30",50.456,40
Austria,AT,VQPRD wines,VQPRD wines,2002,"2,139.90","2,210.80","4,350.70",50.350,43
Austria,AT,VQPRD wines,VQPRD wines,2007,"2,288.00","1,908.00","4,196.00",50.273,46
Austria,AT,P.D.O. wines,P.D.O. wines,2008,0.00,0.00,0.00,50.013,0
Austria,AT,P.D.O. wines,P.D.O. wines,2009,"2,011.60","2,391.90","4,403.50",49.272,41
Austria,AT,P.D.O. wines,P.D.O. wines,2018,"2,560.16","2,234.82","4,794.98",48.863,52
Austria,AT,P.D.O. wines,P.D.O. wines,2019,"2,138.59","2,513.36","4,651.96",48.845,44
Austria,AT,P.D.O. wines,P.D.O. wines,2017,"2,329.16","2,007.86","4,337.01",48.282,48
Austria,AT,P.D.O. wines,P.D.O. wines,2020,"2,214.51","2,430.90","4,645.41",48.062,46
Austria,AT,P.D.O. wines,P.D.O. wines,2013,"2,144.61","2,034.90","4,179.51",47.701,45
Austria,AT,P.D.O. wines,P.D.O. wines,2016,"1,855.31","2,037.77","3,893.07",47.583,39
Austria,AT,P.D.O. wines,P.D.O. wines,2015,"2,114.47","1,951.07","4,065.54",47.255,45
Austria,AT,P.D.O. wines,P.D.O. wines,2014,"1,745.79","2,160.12","3,905.92",47.237,37
Austria,AT,P.D.O. wines,P.D.O. wines,2012,"1,842.05","2,061.72","3,903.78",46.711,39
Austria,AT,P.D.O. wines,P.D.O. wines,2011,"2,257.12","1,684.64","3,941.76",46.092,49
Austria,AT,P.D.O. wines,P.D.O. wines,2010,"1,445.34","2,112.81","3,558.14",45.533,32
Austria,AT,P.D.O. wines,P.D.O. wines,2021,"2,256.55","2,412.73","4,669.28",44.913,50
Austria,AT,Non-Vinified,Non-Vinified,2021,0.49,0.00,0.49,0.000,-
Austria,AT,Non-Vinified,Non-Vinified,2020,0.47,0.00,0.47,0.000,-
Austria,AT,Non-Vinified,Non-Vinified,2019,0.49,0.00,0.49,0.000,-
Austria,AT,Non-Vinified,Non-Vinified,2018,0.55,0.00,0.55,0.000,-
Austria,AT,Non-Vinified,Non-Vinified,2017,0.48,0.00,0.48,0.000,-
Austria,AT,Non-Vinified,Non-Vinified,2016,0.21,0.00,0.21,0.000,-
Austria,AT,Non-Vinified,Non-Vinified,2015,0.35,0.00,0.35,0.000,-
Austria,AT,Non-Vinified,Non-Vinified,2014,0.30,0.00,0.30,0.000,-
Austria,AT,Non-Vinified,Non-Vinified,2013,0.33,0.00,0.33,0.000,-
Austria,AT,Non-Vinified,Non-Vinified,2012,0.30,0.00,0.30,0.000,-
Austria,AT,Non-Vinified,Non-Vinified,2011,0.33,0.00,0.33,0.000,-
Austria,AT,Non-Vinified,Non-Vinified,2010,18.67,0.00,18.67,0.000,-
Austria,AT,Non-Vinified,Non-Vinified,2009,38.20,0.00,38.20,0.000,-
Austria,AT,Non-Vinified,Non-Vinified,2007,50.00,0.00,50.00,0.000,-
Austria,AT,Non-Vinified,Non-Vinified,2006,43.00,0.00,43.00,0.000,-
Austria,AT,Non-Vinified,Non-Vinified,2004,48.70,0.00,48.70,0.000,-
Austria,AT,Non-Vinified,Non-Vinified,2003,35.98,0.00,35.98,0.000,-
Austria,AT,Non-Vinified,Non-Vinified,2002,33.10,0.00,33.10,0.000,-
Austria,AT,Non-Vinified,Non-Vinified,2001,38.00,0.00,38.00,0.000,-
Austria,AT,Non-Vinified,Non-Vinified,2000,2.00,0.00,2.00,0.000,-
Austria,AT,Other wines,Non-GI,2021,169.34,257.19,426.52,0.000,-
