Continent,Pays,Année,Production de vin,Unité
Afrique,Afrique Du Sud,1995,8339,1000hl
Afrique,Afrique Du Sud,1996,8451,1000hl
Afrique,Afrique Du Sud,1997,8115,1000hl
Afrique,Afrique Du Sud,1998,7703,1000hl
Afrique,Afrique Du Sud,1999,7968,1000hl
Afrique,Afrique Du Sud,2000,6949,1000hl
Afrique,Afrique Du Sud,2001,6471,1000hl
Afrique,Afrique Du Sud,2002,7189,1000hl
Afrique,Afrique Du Sud,2003,8853,1000hl
Afrique,Afrique Du Sud,2004,9279,1000hl
Afrique,Afrique Du Sud,2005,8406,1000hl
Afrique,Afrique Du Sud,2006,9398,1000hl
Afrique,Afrique Du Sud,2007,9783,1000hl
Afrique,Afrique Du Sud,2008,10165,1000hl
Afrique,Afrique Du Sud,2009,9986,1000hl
Afrique,Afrique Du Sud,2010,9327,1000hl
Afrique,Afrique Du Sud,2011,9725,1000hl
Afrique,Afrique Du Sud,2012,10569,1000hl
Afrique,Afrique Du Sud,2013,10982,1000hl
Afrique,Afrique Du Sud,2014,11460,1000hl
Afrique,Afrique Du Sud,2015,11231,1000hl
Afrique,Afrique Du Sud,2016,10531,1000hl
Afrique,Afrique Du Sud,2017,10820,1000hl
Afrique,Afrique Du Sud,2018,9503,1000hl
Afrique,Afrique Du Sud,2019,9705,1000hl
Europe,Albanie,1995,169,1000hl
Europe,Albanie,1996,293,1000hl
Europe,Albanie,1997,168,1000hl
Europe,Albanie,1998,105,1000hl
Europe,Albanie,1999,127,1000hl
Europe,Albanie,2000,74,1000hl
Europe,Albanie,2001,142,1000hl
Europe,Albanie,2002,66,1000hl
Europe,Albanie,2003,92,1000hl
Europe,Albanie,2004,140,1000hl
Europe,Albanie,2005,171,1000hl
Europe,Albanie,2006,170,1000hl
Europe,Albanie,2007,178,1000hl
Europe,Albanie,2008,161,1000hl
Europe,Albanie,2009,175,1000hl
Europe,Albanie,2010,300,1000hl
Europe,Albanie,2011,380,1000hl
Europe,Albanie,2012,370,1000hl
Europe,Albanie,2013,380,1000hl
Europe,Albanie,2014,175,1000hl
Europe,Albanie,2015,164,1000hl
Europe,Albanie,2016,178,1000hl
Europe,Albanie,2017,172,1000hl
Europe,Albanie,2018,160,1000hl
Europe,Albanie,2019,160,1000hl
Afrique,Algérie,1995,571,1000hl
Afrique,Algérie,1996,392,1000hl
Afrique,Algérie,1997,357,1000hl
Afrique,Algérie,1998,360,1000hl
Afrique,Algérie,1999,422,1000hl
Afrique,Algérie,2000,424,1000hl
Afrique,Algérie,2001,420,1000hl
Afrique,Algérie,2002,700,1000hl
Afrique,Algérie,2003,820,1000hl
Afrique,Algérie,2004,850,1000hl
Afrique,Algérie,2005,900,1000hl
Afrique,Algérie,2006,1050,1000hl
Afrique,Algérie,2007,520,1000hl
Afrique,Algérie,2008,500,1000hl
Afrique,Algérie,2009,588,1000hl
Afrique,Algérie,2010,475,1000hl
Afrique,Algérie,2011,480,1000hl
Afrique,Algérie,2012,492,1000hl
Afrique,Algérie,2013,498,1000hl
Afrique,Algérie,2014,520,1000hl
Afrique,Algérie,2015,500,1000hl
Afrique,Algérie,2016,500,1000hl
Afrique,Algérie,2017,621,1000hl
Afrique,Algérie,2018,543,1000hl
Afrique,Algérie,2019,600,1000hl
Europe,Allemagne,1995,8510,1000hl
Europe,Allemagne,1996,8642,1000hl
Europe,Allemagne,1997,8495,1000hl
Europe,Allemagne,1998,10834,1000hl
Europe,Allemagne,1999,12123,1000hl
Europe,Allemagne,2000,9852,1000hl
Europe,Allemagne,2001,8891,1000hl
Europe,Allemagne,2002,9885,1000hl
Europe,Allemagne,2003,8191,1000hl
Europe,Allemagne,2004,10007,1000hl
Europe,Allemagne,2005,9153,1000hl
Europe,Allemagne,2006,8916,1000hl
Europe,Allemagne,2007,10261,1000hl
Europe,Allemagne,2008,9991,1000hl
Europe,Allemagne,2009,9228,1000hl
Europe,Allemagne,2010,6906,1000hl
Europe,Allemagne,2011,9132,1000hl
Europe,Allemagne,2012,9012,1000hl
Europe,Allemagne,2013,8409,1000hl
Europe,Allemagne,2014,9202,1000hl
Europe,Allemagne,2015,8819,1000hl
Europe,Allemagne,2016,9013,1000hl
Europe,Allemagne,2017,7462,1000hl
Europe,Allemagne,2018,10268,1000hl
Europe,Allemagne,2019,8218,1000hl
Amérique,Argentine,1995,16443,1000hl
Amérique,Argentine,1996,12681,1000hl
Amérique,Argentine,1997,13500,1000hl
Amérique,Argentine,1998,12673,1000hl
Amérique,Argentine,1999,15888,1000hl
Amérique,Argentine,2000,12537,1000hl
Amérique,Argentine,2001,15835,1000hl
Amérique,Argentine,2002,12695,1000hl
Amérique,Argentine,2003,13225,1000hl
Amérique,Argentine,2004,15464,1000hl
Amérique,Argentine,2005,15222,1000hl
Amérique,Argentine,2006,15396,1000hl
Amérique,Argentine,2007,15046,1000hl
Amérique,Argentine,2008,14676,1000hl
Amérique,Argentine,2009,12135,1000hl
Amérique,Argentine,2010,16250,1000hl
Amérique,Argentine,2011,15473,1000hl
Amérique,Argentine,2012,11778,1000hl
Amérique,Argentine,2013,14984,1000hl
Amérique,Argentine,2014,15197,1000hl
Amérique,Argentine,2015,13362,1000hl
Amérique,Argentine,2016,9447,1000hl
Amérique,Argentine,2017,11821,1000hl
Amérique,Argentine,2018,14522,1000hl
Amérique,Argentine,2019,13019,1000hl
Asie,Arménie,1995,104,1000hl
Asie,Arménie,1996,78,1000hl
Asie,Arménie,1997,49,1000hl
Asie,Arménie,1998,24,1000hl
Asie,Arménie,1999,56,1000hl
Asie,Arménie,2000,42,1000hl
Asie,Arménie,2001,70,1000hl
Asie,Arménie,2002,46,1000hl
Asie,Arménie,2003,27,1000hl
Asie,Arménie,2004,68,1000hl
Asie,Arménie,2005,73,1000hl
Asie,Arménie,2006,44,1000hl
Asie,Arménie,2007,43,1000hl
Asie,Arménie,2008,38,1000hl
Asie,Arménie,2009,47,1000hl
Asie,Arménie,2010,59,1000hl
Asie,Arménie,2011,62,1000hl
Asie,Arménie,2012,58,1000hl
Asie,Arménie,2013,64,1000hl
Asie,Arménie,2014,68,1000hl
Asie,Arménie,2015,66,1000hl
Asie,Arménie,2016,75,1000hl
Asie,Arménie,2017,94,1000hl
Asie,Arménie,2018,96,1000hl
Asie,Arménie,2019,127,1000hl
Océanie,Australie,1995,5028,1000hl
Océanie,Australie,1996,6734,1000hl
Océanie,Australie,1997,6174,1000hl
Océanie,Australie,1998,7415,1000hl
Océanie,Australie,1999,8511,1000hl
Océanie,Australie,2000,8064,1000hl
Océanie,Australie,2001,10731,1000hl
Océanie,Australie,2002,12168,1000hl
Océanie,Australie,2003,10835,1000hl
Océanie,Australie,2004,14679,1000hl
Océanie,Australie,2005,14301,1000hl
Océanie,Australie,2006,14263,1000hl
Océanie,Australie,2007,9620,1000hl
Océanie,Australie,2008,12448,1000hl
Océanie,Australie,2009,11784,1000hl
Océanie,Australie,2010,11420,1000hl
Océanie,Australie,2011,11180,1000hl
Océanie,Australie,2012,12259,1000hl
Océanie,Australie,2013,12310,1000hl
Océanie,Australie,2014,11863,1000hl
Océanie,Australie,2015,11912,1000hl
Océanie,Australie,2016,13100,1000hl
Océanie,Australie,2017,13690,1000hl
Océanie,Australie,2018,12740,1000hl
Océanie,Australie,2019,11970,1000hl
Europe,Autriche,1995,2229,1000hl
Europe,Autriche,1996,2110,1000hl
Europe,Autriche,1997,1802,1000hl
Europe,Autriche,1998,2703,1000hl
Europe,Autriche,1999,2803,1000hl
Europe,Autriche,2000,2338,1000hl
Europe,Autriche,2001,2531,1000hl
Europe,Autriche,2002,2599,1000hl
Europe,Autriche,2003,2526,1000hl
Europe,Autriche,2004,2735,1000hl
Europe,Autriche,2005,2264,1000hl
Europe,Autriche,2006,2256,1000hl
Europe,Autriche,2007,2628,1000hl
Europe,Autriche,2008,2993,1000hl
Europe,Autriche,2009,2352,1000hl
Europe,Autriche,2010,1737,1000hl
Europe,Autriche,2011,2814,1000hl
Europe,Autriche,2012,2125,1000hl
Europe,Autriche,2013,2392,1000hl
Europe,Autriche,2014,1999,1000hl
Europe,Autriche,2015,2268,1000hl
Europe,Autriche,2016,1953,1000hl
Europe,Autriche,2017,2486,1000hl
Europe,Autriche,2018,2753,1000hl
Europe,Autriche,2019,2465,1000hl
Asie,Azerbaïdjan,1995,71,1000hl
Asie,Azerbaïdjan,1996,29,1000hl
Asie,Azerbaïdjan,1997,347,1000hl
Asie,Azerbaïdjan,1998,147,1000hl
Asie,Azerbaïdjan,1999,47,1000hl
Asie,Azerbaïdjan,2000,77,1000hl
Asie,Azerbaïdjan,2001,76,1000hl
Asie,Azerbaïdjan,2002,57,1000hl
Asie,Azerbaïdjan,2003,38,1000hl
Asie,Azerbaïdjan,2004,31,1000hl
Asie,Azerbaïdjan,2005,44,1000hl
Asie,Azerbaïdjan,2006,52,1000hl
Asie,Azerbaïdjan,2007,64,1000hl
Asie,Azerbaïdjan,2008,82,1000hl
Asie,Azerbaïdjan,2009,72,1000hl
Asie,Azerbaïdjan,2010,117,1000hl
Asie,Azerbaïdjan,2011,76,1000hl
Asie,Azerbaïdjan,2012,106,1000hl
Asie,Azerbaïdjan,2013,84,1000hl
Asie,Azerbaïdjan,2014,100,1000hl
Asie,Azerbaïdjan,2015,104,1000hl
Asie,Azerbaïdjan,2016,105,1000hl
Asie,Azerbaïdjan,2017,113,1000hl
Asie,Azerbaïdjan,2018,157,1000hl
Asie,Azerbaïdjan,2019,157,1000hl
Europe,Belgique,1995,1,1000hl
Europe,Belgique,1996,1,1000hl
Europe,Belgique,1997,1,1000hl
Europe,Belgique,1998,1,1000hl
Europe,Belgique,1999,2,1000hl
Europe,Belgique,2000,2,1000hl
Europe,Belgique,2001,2,1000hl
Europe,Belgique,2002,2,1000hl
Europe,Belgique,2003,2,1000hl
Europe,Belgique,2004,2,1000hl
Europe,Belgique,2005,1,1000hl
Europe,Belgique,2006,2,1000hl
Europe,Belgique,2007,2,1000hl
Europe,Belgique,2008,6,1000hl
Europe,Belgique,2009,6,1000hl
Europe,Belgique,2010,5,1000hl
Europe,Belgique,2011,5,1000hl
Europe,Belgique,2012,3,1000hl
Europe,Belgique,2013,6,1000hl
Europe,Belgique,2014,7,1000hl
Europe,Belgique,2015,10,1000hl
Europe,Belgique,2016,8,1000hl
Europe,Belgique,2017,9,1000hl
Europe,Belgique,2018,20,1000hl
Europe,Belgique,2019,15,1000hl
Amérique,"Bolivie, Etat Plurinational ",1995,20,1000hl
Amérique,"Bolivie, Etat Plurinational ",1996,20,1000hl
Amérique,"Bolivie, Etat Plurinational ",1997,20,1000hl
Amérique,"Bolivie, Etat Plurinational ",1998,20,1000hl
Amérique,"Bolivie, Etat Plurinational ",1999,20,1000hl
Amérique,"Bolivie, Etat Plurinational ",2000,20,1000hl
Amérique,"Bolivie, Etat Plurinational ",2001,20,1000hl
Amérique,"Bolivie, Etat Plurinational ",2002,20,1000hl
Amérique,"Bolivie, Etat Plurinational ",2003,44,1000hl
Amérique,"Bolivie, Etat Plurinational ",2004,71,1000hl
Amérique,"Bolivie, Etat Plurinational ",2005,72,1000hl
Amérique,"Bolivie, Etat Plurinational ",2006,73,1000hl
Amérique,"Bolivie, Etat Plurinational ",2007,74,1000hl
Amérique,"Bolivie, Etat Plurinational ",2008,77,1000hl
Amérique,"Bolivie, Etat Plurinational ",2009,70,1000hl
Amérique,"Bolivie, Etat Plurinational ",2010,74,1000hl
Amérique,"Bolivie, Etat Plurinational ",2011,74,1000hl
Amérique,"Bolivie, Etat Plurinational ",2012,80,1000hl
Amérique,"Bolivie, Etat Plurinational ",2013,83,1000hl
Amérique,"Bolivie, Etat Plurinational ",2014,55,1000hl
Amérique,"Bolivie, Etat Plurinational ",2015,83,1000hl
Amérique,"Bolivie, Etat Plurinational ",2016,83,1000hl
Amérique,"Bolivie, Etat Plurinational ",2017,84,1000hl
Amérique,"Bolivie, Etat Plurinational ",2018,67,1000hl
Amérique,"Bolivie, Etat Plurinational ",2019,67,1000hl
Europe,Bosnie-herzégovine,1995,34,1000hl
Europe,Bosnie-herzégovine,1996,47,1000hl
Europe,Bosnie-herzégovine,1997,9,1000hl
Europe,Bosnie-herzégovine,1998,69,1000hl
Europe,Bosnie-herzégovine,1999,58,1000hl
Europe,Bosnie-herzégovine,2000,48,1000hl
Europe,Bosnie-herzégovine,2001,55,1000hl
Europe,Bosnie-herzégovine,2002,75,1000hl
Europe,Bosnie-herzégovine,2003,91,1000hl
Europe,Bosnie-herzégovine,2004,60,1000hl
Europe,Bosnie-herzégovine,2005,50,1000hl
Europe,Bosnie-herzégovine,2006,27,1000hl
Europe,Bosnie-herzégovine,2007,46,1000hl
Europe,Bosnie-herzégovine,2008,46,1000hl
Europe,Bosnie-herzégovine,2009,37,1000hl
Europe,Bosnie-herzégovine,2010,45,1000hl
Europe,Bosnie-herzégovine,2011,34,1000hl
Europe,Bosnie-herzégovine,2012,56,1000hl
Europe,Bosnie-herzégovine,2013,62,1000hl
Europe,Bosnie-herzégovine,2014,75,1000hl
Europe,Bosnie-herzégovine,2015,54,1000hl
Europe,Bosnie-herzégovine,2016,46,1000hl
Europe,Bosnie-herzégovine,2017,55,1000hl
Europe,Bosnie-herzégovine,2018,55,1000hl
Europe,Bosnie-herzégovine,2019,55,1000hl
Amérique,Brésil,1995,3128,1000hl
Amérique,Brésil,1996,2320,1000hl
Amérique,Brésil,1997,2743,1000hl
Amérique,Brésil,1998,2782,1000hl
Amérique,Brésil,1999,3116,1000hl
Amérique,Brésil,2000,3638,1000hl
Amérique,Brésil,2001,2968,1000hl
Amérique,Brésil,2002,3212,1000hl
Amérique,Brésil,2003,2620,1000hl
Amérique,Brésil,2004,3925,1000hl
Amérique,Brésil,2005,3199,1000hl
Amérique,Brésil,2006,2372,1000hl
Amérique,Brésil,2007,3502,1000hl
Amérique,Brésil,2008,3683,1000hl
Amérique,Brésil,2009,2720,1000hl
Amérique,Brésil,2010,2459,1000hl
Amérique,Brésil,2011,3460,1000hl
