Continent,Pays,Annee,Superficie du vignoble,Unite
Asie,Afghanistan,1995,54671,ha
Asie,Afghanistan,1996,55317,ha
Asie,Afghanistan,1997,55900,ha
Asie,Afghanistan,1998,55900,ha
Asie,Afghanistan,1999,55900,ha
Asie,Afghanistan,2000,55900,ha
Asie,Afghanistan,2001,55900,ha
Asie,Afghanistan,2002,55900,ha
Asie,Afghanistan,2003,53750,ha
Asie,Afghanistan,2004,53750,ha
Asie,Afghanistan,2005,53750,ha
Asie,Afghanistan,2006,55900,ha
Asie,Afghanistan,2007,59125,ha
Asie,Afghanistan,2008,61920,ha
Asie,Afghanistan,2009,65394,ha
Asie,Afghanistan,2010,65717,ha
Asie,Afghanistan,2011,66175,ha
Asie,Afghanistan,2012,66317,ha
Asie,Afghanistan,2013,66777,ha
Asie,Afghanistan,2014,84285,ha
Asie,Afghanistan,2015,84582,ha
Asie,Afghanistan,2016,88634,ha
Asie,Afghanistan,2017,93734,ha
Asie,Afghanistan,2018,94081,ha
Asie,Afghanistan,2019,96312,ha
Afrique,Afrique Du Sud,1995,103000,ha
Afrique,Afrique Du Sud,1996,105608,ha
Afrique,Afrique Du Sud,1997,110000,ha
Afrique,Afrique Du Sud,1998,114000,ha
Afrique,Afrique Du Sud,1999,120000,ha
Afrique,Afrique Du Sud,2000,124400,ha
Afrique,Afrique Du Sud,2001,126000,ha
Afrique,Afrique Du Sud,2002,129000,ha
Afrique,Afrique Du Sud,2003,132100,ha
Afrique,Afrique Du Sud,2004,133000,ha
Afrique,Afrique Du Sud,2005,134000,ha
Afrique,Afrique Du Sud,2006,134000,ha
Afrique,Afrique Du Sud,2007,133000,ha
Afrique,Afrique Du Sud,2008,132000,ha
Afrique,Afrique Du Sud,2009,132000,ha
Afrique,Afrique Du Sud,2010,132000,ha
Afrique,Afrique Du Sud,2011,133499,ha
Afrique,Afrique Du Sud,2012,135078,ha
Afrique,Afrique Du Sud,2013,132896,ha
Afrique,Afrique Du Sud,2014,133127,ha
Afrique,Afrique Du Sud,2015,132652,ha
Afrique,Afrique Du Sud,2016,129513,ha
Afrique,Afrique Du Sud,2017,128120,ha
Afrique,Afrique Du Sud,2018,122645,ha
Afrique,Afrique Du Sud,2019,122405,ha
Europe,Albanie,1995,4775,ha
Europe,Albanie,1996,5024,ha
Europe,Albanie,1997,4719,ha
Europe,Albanie,1998,5029,ha
Europe,Albanie,1999,5500,ha
Europe,Albanie,2000,6000,ha
Europe,Albanie,2001,6400,ha
Europe,Albanie,2002,6600,ha
Europe,Albanie,2003,6172,ha
Europe,Albanie,2004,6841,ha
Europe,Albanie,2005,8200,ha
Europe,Albanie,2006,8200,ha
Europe,Albanie,2007,9103,ha
Europe,Albanie,2008,9755,ha
Europe,Albanie,2009,9806,ha
